[2022-06-08 13:14:51,384 | django.server | (basehttp.py).log_message(187) | INFO] "GET /static/images/11.jpg HTTP/1.1" 304 0
[2022-06-08 13:14:51,384 | django.server | (basehttp.py).log_message(187) | INFO] "GET /static/images/14.jpg HTTP/1.1" 304 0
[2022-06-09 10:02:48,367 | django.server | (basehttp.py).log_message(187) | INFO] "GET / HTTP/1.1" 200 5419
[2022-06-09 10:02:48,434 | django.server | (basehttp.py).log_message(187) | INFO] "GET /static/css/style.css HTTP/1.1" 304 0
[2022-06-09 10:18:56,245 | difequation.main | (views.py).solutions(14) | INFO] Отправлен запрос в БД на получение всех имеющихся решений дифференциальных уравнений.
[2022-06-09 10:18:56,246 | difequation.main | (views.py).solutions(16) | INFO] Отправлен запрос в БД на получение всех имеющихся дифференциальных задач Коши.
[2022-06-09 10:18:56,323 | django.server | (basehttp.py).log_message(187) | INFO] "GET /solutions HTTP/1.1" 200 24557
[2022-06-09 10:18:56,327 | django.server | (basehttp.py).log_message(187) | INFO] "GET /static/images/2.jpg HTTP/1.1" 304 0
[2022-06-09 10:18:56,328 | django.server | (basehttp.py).log_message(187) | INFO] "GET /static/images/4.jpg HTTP/1.1" 304 0
[2022-06-09 10:18:56,328 | django.server | (basehttp.py).log_message(187) | INFO] "GET /static/images/11.jpg HTTP/1.1" 304 0
[2022-06-09 10:18:56,328 | django.server | (basehttp.py).log_message(187) | INFO] "GET /static/images/10.jpg HTTP/1.1" 304 0
[2022-06-09 10:18:56,328 | django.server | (basehttp.py).log_message(187) | INFO] "GET /static/images/3.jpg HTTP/1.1" 304 0
[2022-06-09 10:18:56,328 | django.server | (basehttp.py).log_message(187) | INFO] "GET /static/images/6.jpg HTTP/1.1" 304 0
[2022-06-09 10:18:56,330 | django.server | (basehttp.py).log_message(187) | INFO] "GET /static/images/14.jpg HTTP/1.1" 304 0
[2022-06-09 10:18:56,349 | django.server | (basehttp.py).log_message(187) | INFO] "GET /static/images/7.jpg HTTP/1.1" 200 32592
[2022-06-09 10:18:56,349 | django.server | (basehttp.py).log_message(187) | INFO] "GET /static/images/9.jpg HTTP/1.1" 200 26564
[2022-06-09 10:20:00,609 | django.server | (basehttp.py).log_message(187) | INFO] "GET /delete/3 HTTP/1.1" 301 0
[2022-06-09 10:20:00,652 | difequation.main | (views.py).delete(58) | INFO] Отправлен запрос в БД на получение объекта equation с id = 3.
[2022-06-09 10:20:00,655 | difequation.main | (views.py).delete(60) | INFO] Объекта equation с id = 3 удален.
[2022-06-09 10:20:00,655 | django.server | (basehttp.py).log_message(187) | INFO] "GET /delete/3/ HTTP/1.1" 302 0
[2022-06-09 10:20:00,658 | difequation.main | (views.py).solutions(14) | INFO] Отправлен запрос в БД на получение всех имеющихся решений дифференциальных уравнений.
[2022-06-09 10:20:00,658 | difequation.main | (views.py).solutions(16) | INFO] Отправлен запрос в БД на получение всех имеющихся дифференциальных задач Коши.
[2022-06-09 10:20:00,693 | django.server | (basehttp.py).log_message(187) | INFO] "GET /solutions HTTP/1.1" 200 21676
[2022-06-09 17:26:48,749 | django.server | (basehttp.py).log_message(187) | INFO] "GET / HTTP/1.1" 200 5419
[2022-06-09 17:26:48,820 | django.server | (basehttp.py).log_message(187) | INFO] "GET /static/css/style.css HTTP/1.1" 304 0
[2022-06-09 17:26:48,852 | django.server | (basehttp.py).log_message(187) | WARNING] "GET /favicon.ico HTTP/1.1" 404 2618
